_id,nome_centralina,indirizzo,netcd,statcd,nome_comune,nome_provincia,sigla_provincia,coordinate,longitude,latitude,sigla,nome,unita_misura,soglia,soglia_alert
154,Martina Franca - Via Stazione,Via della Stazione,333,26,Martina Franca,Taranto,TA,"N 4508162
E 697012",17.331939,40.700826,PM10,Polveri inalabili,µg/m³,50.0,150.0
202,Surbo- Via Croce ,Via B. Croce  S.N. - 73010 SURBO    ,222,20,Surbo,Lecce,LE,"E: 764807
N: 4478158",18.120835,40.41194,SO2,Biossido di zolfo,µg/m³,350.0,125.0
148,Manfredonia - Via dei Mandorli,Via dei Mandorli,111,22,Manfredonia,Foggia,FG,"E:575770
N:4609022",15.909638,41.629333,C6H6,Benzene,µg/m³,5.0,10.0
152,Martina Franca - Via Stazione,Via della Stazione,333,26,Martina Franca,Taranto,TA,"N 4508162
E 697012",17.331939,40.700826,C6H6,Benzene,µg/m³,5.0,10.0
153,Martina Franca - Via Stazione,Via della Stazione,333,26,Martina Franca,Taranto,TA,"N 4508162
E 697012",17.331939,40.700826,NO2,Biossido di azoto,µg/m³,200.0,300.0
157,Massafra -Via Frappietri,Via Frappietri,333,55,Massafra,Taranto,TA,E: 679111.69  N:4495815.60,17.11669,40.593761,PM10,Polveri inalabili,µg/m³,50.0,150.0
161,Mesagne - Via Udine,Via Udine,222,7,Mesagne,Brindisi,BR,,17.807998,40.565995,SO2,Biossido di zolfo,µg/m³,350.0,125.0
171,Monopoli - ItalGreen (Liceo Artistico L. Russo),Via Cosimo Pisonio,111,45,Monopoli,Bari,BA,"E: 692229
N: 4537004",17.284267,40.961578,NO2,Biossido di azoto,µg/m³,200.0,300.0
172,Monopoli - ItalGreen (Liceo Artistico L. Russo),Via Cosimo Pisonio,111,45,Monopoli,Bari,BA,"E: 692229
N: 4537004",17.284267,40.961578,PM10,Polveri inalabili,µg/m³,50.0,150.0
175,Monte S. Angelo - Ciuffreda,Suolo Ciuffreda,111,25,Monte Sant Angelo,Foggia,FG,"E:578692m
N:4613137m",15.945254,41.666109,O3,Ozono,µg/m³,120.0,180.0
